"name","role","season","episodeName","actorName","gender"
"185","Orlando Costas","Victim",4,"Always","LeBron, Riccardo","m"
"186","Owen Thomas","Victim",4,"Once Upon a Crime",NA,"m"
"187","Paula Casillas","Killer",3,"He's Dead, She's Dead","Armstrong, Bess","f"
"188","Paul Finch","Victim",2,"Den of Thieves","Betts, Erik","m"
"189","Philip Lee","Killer",4,"Kick the Ballistics","Joon, Lanny","m"
"190","Philip Westlake","Victim",3,"The Final Nail",NA,"m"
"191","Prison Guard Patterson","Conspirator",2,"Kill the Messenger",NA,"m"
"192","Radford Hayes","Killer",3,"Countdown",NA,"m"
"193","Rebecca Siegel","Killer",4,"Heartbreak Hotel",NA,"f"
"194","Rebecca Strong","Victim",2,"Overkill","Hall, Jennifer","f"
"195","Reese Harmon","Killer",3,"One Life to Lose","Majorino, Tina","f"
"196","Reggie Starr","Killer",4,"An Embarrassment of Bitches","Hartley, Justin","m"
"197","Richard Castle","Hostage",4,"Cops and Robbers","Fillion, Nathan","m"
"198","Richard Pastori","Victim",1,"Home Is Where the Heart Stops",NA,"m"
"199","Robert Fox aka Robert \Bobby\ Fox","Killer",2,"Suicide Squeeze",NA,"m"
"200","Robert Kincaid","Killer",3,"Murder Most Fowl","Jerome, Paul","m"
"201","Rob Tredwyck aka Rob \The Rocket\ Tredwyck","Killer",3,"The Dead Pool","Bruening, Justin","m"
"202","Roger Farraday","Victim",2,"A Deadly Game","Cates, Dean","m"
"203","Roy Montgomery","Victim",3,"Knockout",NA,"m"
"204","Roy Montgomery","Killer",3,"Knockout",NA,"m"
"205","Russell Ganz","Killer",3,"To Love and Die in L.A.","Purcell, Dominic","m"
"206","Ruth Spurlock","Killer",4,"Cuffed",NA,"f"
"207","Sally Campbell","Victim",4,"The Blue Butterfly",NA,"f"
"208","Sally Campbell","Killer",4,"The Blue Butterfly",NA,"f"
"209","Ron Brandt aka Sal Martino","Killer",4,"Cops and Robbers","Kahn, Ian","m"
"210","Sam Parker aka Jack Holland","Victim",2,"One Man's Treasure","DiRocco, Anthony","m"
"211","Sam Siegel","Victim",4,"Heartbreak Hotel",NA,"m"
"212","Samuel Cavanagh","Victim",1,"A Chill Goes Through Her Veins",NA,"m"
